ISBN,Book-Title,Book-Author,Year-Of-Publication,Publisher
1567181562,The Celtic Heart,Kathryn Marie Cocquyt,1994,Llewellyn Pubns
140187405,Tortilla Flat (Penguin Twentieth-Century Classics),John Steinbeck,1997,Penguin Books
893753971,Great Tales of Terror (A Watermill Classic),Edgar Allan Poe,1993,Troll Communications
1853260584,Return of Sherlock Holmes (Wordsworth Classics),A. C. Doyle,1997,NTC/Contemporary Publishing Company
843953101,You Are SO Cursed!,Naomi Nash,2004,Smooch
345308484,What Every Woman Should Know About Men,Joyce Brothers,1983,Ballantine Books
393307069,Post Captain (Aubrey-Maturin (Paperback)),Patrick O'Brian,1990,W. W. Norton &amp; Company
380789140,Prisoner of Conscience,Susan R. Matthews,1998,Avon Books
440186927,There Is a Tide,Agatha Christie,1970,Bantam Books (Mm)
679783261,Pride and Prejudice (Modern Library Classics),Jane Austen,2000,Modern Library
375806717,Black Stallion,Walter Farley,2000,Random House Children's Books
515137057,Clean Cut,Theresa Monsour,2004,Jove Books
743227441,The Other Boleyn Girl,Philippa Gregory,2002,Touchstone
670877999,Slow Burn,Victor Kelleher,1997,Viking Children's Books
312986289,Blackwater Sound (A Thorn Mystery),James W. Hall,2002,St. Martin's Paperbacks
812570901,The Fifth Horseman : A Novel of Biological Disaster (Zammit),Richard Sherbaniuk,2002,Tor Books
671024108,Speaking in Tongues,Jeffery Deaver,2002,Pocket
345433491,Hanna's Daughters (Ballantine Reader's Circle),Marianne Fredriksson,1999,Ballantine Books
671793888,Cowboys Are My Weakness,Pam Houston,1993,Washington Square Press
679769447,What Girls Learn,Karin Cook,1998,Vintage Books USA
671535455,HOOPI SHOOPI DONNA,Suzanne Strempek Shea,1997,Washington Square Press
1558743316,A 2nd Helping of Chicken Soup for the Soul (Chicken Soup for the Soul Series (Paper)),Jack Canfield,1994,Health Communications
345381432,Dreaming in Cuban,CRISTINA GARCIA,1993,Ballantine Books
089919513X,Olive and the Magic Hat,Eileen Christelow,1987,Houghton Mifflin Co
043919105X,Paste Makes Waste (Powerpuff Girls (Unnumbered).),Laura Dower,2000,Scholastic
553375067,Emotional Intelligence : Why It Can Matter More Than IQ,Daniel Goleman,1997,Bantam
671452177,WLD ACCORDNG GARP,John Irving,1982,Pocket
451143426,One Flew Over the Cuckoo's Nest,Ken Kesey,1963,Signet Book
553275976,The Bonfire of the Vanities,Tom Wolfe,1988,Bantam Books
140092323,Lake Wobegon days,Garrison Keillor,1986,Penguin Books
441779131,The Stainless Steel Rat Saves the World (Stainless Steel Rat Books (Paperback)),Harry Harrison,1989,Ace Books
345387813,Power Play,Anne McCaffrey,1996,Del Rey Books
1562927736,The Adventures of Mighty Mom,Gwendolyn Mitchell Diaz,2000,Chariot Victor Pub
553293885,A Great Day for the Deadly,Jane Haddam,1992,Bantam Books
449702472,The Truth Trap,Frances Miller,1995,Fawcett Books
553564404,Finnegan's Week,Joseph Wambaugh,1996,Bantam Books
441873308,Warlock Unlocked,Christopher Stasheff,1985,Ace Books
812512421,Lion in the Valley,Elizabeth Peters,1990,Tor Books (Mm)
553209833,The Lost Jewels of Nabooti,R. A. Montgomery,1981,Bantam Books
553562398,Rest in Pieces (Mrs. Murphy Mysteries (Paperback)),RITA MAE BROWN,1993,Bantam
553287532,Wish You Were Here (Mrs. Murphy Mysteries (Paperback)),RITA MAE BROWN,1991,Bantam
312979509,Spider's Web,Agatha Christie,2001,St. Martin's Paperbacks
1885365012,Dancing With Tigers,Janet E. Lapp,1994,Demeter Press
931580781,Life 101: Everything We Wish We Had Learned About Life in School--But Didn't (The Life 101 Series),Peter McWilliams,1994,Prelude Press
440214602,Crossing Antarctica,Will Steger,1993,Dell Publishing Company
425191583,Imitation in Death (Eve Dallas Mysteries (Paperback)),J. D. Robb,2004,Berkley Publishing Group
449207145,My Name Is Asher Lev,Chaim Potok,1990,Fawcett Books
380704900,Nighty-Nightmare,James Howe,1988,Avon Books
553278363,The Red Pony,John Steinbeck,1988,Bantam Books
684717603,The GREAT GATSBY (Scribner Classic),F. Scott Fritzgerald,1920,Scribner Paper Fiction
671666401,Surrender the Pink,Carrie Fisher,1990,Simon &amp; Schuster
671434225,CONTACT,Carl Sagan,1986,Pocket
609609491,The One Minute Millionaire: The Enlightened Way to Wealth,MARK VICTOR HANSEN,2002,Harmony
3453136411,Das Urteil.,John Grisham,1998,Heyne
671742949,UNDER SIEGE,Stephen Coonts,1991,Pocket
553582127,The Search,Iris Johansen,2001,Bantam Books
425169685,Flight of Eagles,Jack Higgins,1999,Berkley Publishing Group
425132625,Sky Masters,Dale Brown,1996,Berkley Publishing Group
440225817,Acts of Malice,Perri O'Shaughnessy,2000,Island
312982615,Robert Ludlum's The Paris Option : A Covert-One Novel (A Covert-One Novel),Robert Ludlum,2003,St. Martin's Paperbacks
743456394,The White Road,John Connolly,2004,Atria Books
60163283,Bones: A Forensic Detective's Casebook,Douglas H. Ubelaker,1992,Harpercollins
61091847,Mafia Dynasty: The Rise and Fall of the Gambino Crime Family,John H. Davis,1994,HarperTorch
553578308,Tough Cookie,Diane Mott Davidson,2001,Bantam Books
393300498,As We Are Now,May Sarton,1983,W. W. Norton &amp; Company
553578359,Chopping Spree,Diane Mott Davidson,2003,Bantam Books
671529986,MOTHER : MOTHER,Claudia O'Keefe,1996,Atria
1594570841,MacFarlane's Ridge,Patricia Deane Wigington,2003,Global Book Publisher
1853260061,Portrait of the Artist As a Young Man (Wordsworth Classics),James Joyce,1997,NTC/Contemporary Publishing Company
440901588,A Swiftly Tilting Planet,Madeleine L'Engle,1979,Laure Leaf
425146421,The Wizard's Daughter,Barbara Michaels,1995,Berkley Publishing Group
1551666235,Wild Enough For Willa (Mira),Ann Major,2000,Mira
553281143,The Obnoxious Jerks,Stephen Manes,1990,Starfire
068419337X,SHIPPING NEWS,Annie Proulx,1993,Scribner
345305779,Get Off the Unicorn,Anne McCaffrey,1982,Del Rey Books
684827123,The SONG OF THE DODO: ISLAND BIOGEOGRAPHY IN AN AGE OF EXTINCTIONS,David Quammen,1997,Scribner
380792028,Glorious Angel,Johanna Lindsey,2002,Avon
821770195,Charming Lily (Zebra Books),Fern Michaels,2001,Zebra Books
517593343,Spring Collection,Judith Krantz,1996,Random House Inc
842357424,Land of the Shadow (Appomattox Saga #04),Gilbert Morris,1993,Tyndale House Pub
051513225X,Pendragon,Catherine Coulter,2002,Jove Books
515129933,The Scottish Bride (Bride Trilogy (Paperback)),Catherine Coulter,2001,Jove Books
051512088X,Rosehaven,Catherine Coulter,2000,Jove Books
345387805,Power Lines,Anne McCaffrey,1996,Del Rey Books
345316002,Killashandra,Anne McCaffrey,1993,Del Rey Books
441003583,The Godmother's Apprentice,Elizabeth Ann Scarborough,1996,Ace Books
441005055,The Alleluia Files (Ace Science Fiction),Sharon Shinn,1998,Ace Books
425179648,Marrying the Mistress,Joanna Trollope,2001,Berkley Publishing Group
9070066882,Het volgende verhaal,Cees Nooteboom,1991,De Arbeiderspers
553262807,Always Coming Home,Ursula K. Le Guin,1993,Spectra Books
679420916,Operating Instructions: A Journal of My Son's First Year,Anne Lamott,1993,Random House Inc
895948028,Old Age Is Another Country: A Traveler's Guide,Page Smith,1995,Ten Speed Pr
446515612,The American Vegetarian Cookbook from the Fit for LifeKitchen,Marilyn Diamond,1990,Warner Books
1569247137,Three Trapped Tigers,G. Cabrera Infante,1997,Marlowe &amp; Company
515103292,When Rabbit Howls,Truddi Chase,1990,Jove Books
60956283,Good/Grief,Josh Koppel,2000,Perennial
3596142172,Body and Soul.,Frank Conroy,1999,Fischer (Tb.)
3453160789,Aurora.,Robert Harris,2000,Heyne
3453162358,Der Erleuchtete.,Sean Russell,2000,Heyne
3257230044,Der Spion und der Analytiker.,Liaty Pisani,1997,Diogenes Verlag
354824971X,Harte Nuss.,Diane Mott Davidson,2000,Ullstein Tb
345315178X,Nimitz Class.,Patrick Robinson,1999,Heyne
3596147832,Das Haus der Harmonie.,Barbara Wood,2000,Fischer (Tb.)
3453196643,Inseln im Netz.,Bruce Sterling,2002,Heyne
3442351472,Seidentanz.,Federica de Cesco,1999,Goldmann
3442435285,Feuerfrau.,Federica de Cesco,1997,Goldmann
3442431379,Silbermuschel.,Federica de Cesco,1996,Goldmann
3446200487,Baudolino.,Umberto Eco,2001,Carl Hanser Verlag
759901260,Cowboy in My Pocket,Kate Douglas,2001,Hard Shell Word Factory
679764003,Happy Death,ALBERT CAMUS,1995,Vintage
812550609,Arrows of the Sun,Judith Tarr,1995,Tor Books (Mm)
345422406,Merrick (Vampire/Witches Chronicles),Anne Rice,2001,Ballantine Books
312194560,Girl Walking Backwards,Bett Williams,1998,Griffin Trade Paperback
451121082,You Only Live Twice,Ian Fleming,1982,Signet Book
140345353,The Devil's Arithmetic,Jane Yolen,1990,Puffin Books
671644475,The Conquest,Jude Deveraux,1991,Pocket
373122691,The Pregnant Bride (Harlequin Presents),Catherine Spencer,2002,Harlequin
812507274,Love Talker,Elizabeth Peters,1990,Tor Books (Mm)
70506728,Miracle at Midway,Gordon William Prange,1982,McGraw-Hill
525932593,Hill Towns of Italy,Richard Kauffman,1984,Dutton Books
810913763,The National Geographic Society: 100 Years of Adventure and Discovery,C.D.B. Bryan,1987,H.N. Abrams
865470561,Mrs. Bridge : A Novel,Evan S. Connell,1990,North Point Press
688159141,Gates of Eden,Ethan Coen,1998,Rob Weisbach Books
039449461X,Far Tortuga,Peter Matthiessen,1975,Random House
449908615,Star Country,Jill Robinson,1996,Ballantine Books
963440349,Where the Locals Eat: A Guide to the Best Restaurants in America,Magellan Press,1998,Magellan Press (TN)
312045875,The Route 66 Traveler's Guide and Roadside Companion,Tom Snyder,1990,St Martins Pr
671769316,NEW ROADSIDE AMERICA : THE MODERN TRAVELER'S GUIDE TO THE WILD AND WONDERFUL WORLD OF AMERICA'S TOURIST,Doug Kirby,1992,Fireside
806515015,The Cockroach Hall of Fame: And 101 Other Off-The-Wall Museums,Sandra Gurvis,1994,Carol Publishing Corporation
60965991,Roadfood,Jane Stern,1992,HarperCollins
553213938,The Custom of the Country,Edith Wharton,1991,Bantam
1551668122,Night Of The Black Bird,Heather Graham,2001,Mira
345444078,Shadows over Innsmouth,Stephen Jones,2001,Del Rey Books
802137040,Exploration of the Valley of the Amazon,William Lewis Herndon,2000,Grove Press
1860461670,Miss Smilla's Feeling for Snow,Peter Hoeg,2000,Havill Pr
375410198,The Feast of Love : A Novel,CHARLES BAXTER,2000,Pantheon Books
375700153,The Troublesome Offspring of Cardinal Guzman,LOUIS DE BERNIERES,1998,Vintage
451190548,The Green Mile: Coffey's Hands (Green Mile Series),Stephen King,1996,Signet Book
671553046,Life Support,Tess Gerritsen,1998,Pocket
059010683X,Hanson: An Unauthorized Biography,Marie T. Morreale,1997,Scholastic
043942089X,The Thief Lord,Cornelia Funke,2003,Chicken House
684849224,Advanced Sex Tips for Girls: This Time It's Personal,Cynthia Heimel,2002,Simon &amp; Schuster
6392466,Working Class Zero,Rob Payne,2003,HarperCollins Canada
452283825,Baggage,Emily Barr,2003,Plume Books
044661050X,The Diary of V : The Breakup (Diary of V),Debra Kent,2001,Warner Vision
425176045,Falling Bodies,Andrew Mark,2000,Berkley Publishing Group
449006158,The Night Inspector: A Novel (Ballantine Reader's Circle),Frederick Busch,2000,Ballantine Books
486280381,Civil War Stories (Dover Thrift Editions),Ambrose Bierce,1994,Dover Publications
671749102,Principle Centered Leadership,Stephen Covey,1991,Simon &amp; Schuster
142003735,Old Flames,John Lawton,2003,Penguin USA (Paper)
451168429,Depraved Indifference,Robert K. Tanenbaum,1994,Signet Book
006055584X,Mission Compromised,Oliver L. North,2003,HarperTorch
312104324,The Bluestocking: The Story of the Famous Forrest Divorce Case,David Delman,1994,St Martins Pr
552138428,The Brentford Triangle,Robert Rankin,1992,Bantam Pr Ltd
425180468,Fax Me a Bagel,Sharon Kahn,2001,Berkley Publishing Group
60092165,Two Cooks A-Killing : An Angie Amalfi Mystery,Joanne Pence,2003,Avon
61094234,Dirt,Stuart Woods,1997,HarperTorch
425169855,Date With the Perfect Dead Man (Hannah and Kiki Mysteries),Annie Griffin,1999,Berkley Publishing Group
61099805,Swimming to Catalina,Stuart Woods,1998,HarperTorch
61093491,Dead in the Water,Stuart Woods,1998,HarperTorch
61090808,New York Dead,Stuart Woods,1992,HarperTorch
440223709,Taken to the Cleaners (Mandy Dyer Mystery),Dolores Johnson,1997,Dell
157566691X,Christmas Cookie Murder: A Lucy Stone Mystery (Lucy Stone Mysteries (Paperback)),Leslie Meier,2000,Kensington Publishing Corporation
140272852,Amistad,A. Pate,1998,Penguin Books Ltd
373121873,The Marriage Arrangement,Helen Bianchin,2001,Harlequin
1583483322,And Not  Make Dreams Your Master,Stephen Goldin,1999,iUniverse.com
1551668254,Road Taken,Rona Jaffe,2001,Mira
151004218,All the Names,Jose Saramago,2000,Harcourt
812970802,Girl Meets God : A Memoir,Lauren F. Winner,2003,Random House Trade Paperbacks
385249640,Parenting an Only Child: The Joys and Challenges of Raising Your One and Only,Susan Newman Ph.D,1990,Main Street Books
1863738487,Crew,Tony McGowan,1995,Allen &amp; Unwin
749720409,The Midnight Ride of Thomas the Tank Engine (Thomas the Tank Engine),Owain Bell,1995,Egmont Childrens Books
330363239,Dirt music,Tim Winton,2001,Picador
140318909,Boy: Tales of Childhood (Puffin Story Books),Roald Dahl,1991,Penguin USA
553269216,Rainbow Valley (Anne of Green Gables Novels (Paperback)),L. M. Montgomery,1985,Starfire
671000500,The WEDDING DAY MYSTERY NANCY DREW 136,Carolyn Keene,1997,Aladdin
671464612,BROKEN ANCHOR ND P (Nancy Drew (Paperback)),Carolyn Keene,1983,Aladdin
440220653,The Face on the Milk Carton,Caroline B. Cooney,1991,Laure Leaf
440210224,Children of the River (Laurel-Leaf Contemporary Fiction),Linda Crew,1991,Laure Leaf
671001787,Alaska,Frank Lauria,1996,Aladdin
743407865,Brave New Girl,Louisa Luna,2001,MTV
8308033555,Ono,Dorota Terakowska,2003,Wydawn. Literackie
3548602746,Die Seekarte.,Arturo Perez-Reverte,2003,List
379511733X,Flut.,Wolfgang Hohlbein,2001,Schneekluth
354825621X,Chocolat. Das Buch zum Film.,Joanne Harris,2003,Ullstein Tb
3716022799,Schattenkinder.,Margaret Forster,2001,Arche Verlag
3548256910,Die Amerikanerin.,Petra Durst-Benning,2003,Ullstein Tb
3426622548,Die Hexe und die Heilige.,Ulrike Schweikert,2002,Droemersche Verlagsanstalt Th. Knaur Nachf.
60987324,Girlfriend in a Coma,Douglas Coupland,1999,Regan Books
3453863712,Die Orks.,Stan Nicholls,2002,Heyne
192823507,Wuthering Heights (The World's Classics),Emily Bronte,1995,Oxford University Press
679986375,Stargirl,JERRY SPINELLI,2000,Knopf Books for Young Readers
8423333205,Nosotros Que No Somos Como,Luca Etxebarria,2003,Planeta Pub Corp
1740595939,Rite of Passage: Tales of Backpacking 'Round Europe (Lonely Planet Journeys (Travel Literature)),Lisa Johnson,2003,Lonely Planet Publications
609604511,A Recipe for Bees,Gail Anderson-Dargatz,2000,Harmony Books
62505521,I Have a Dream - 40th Anniversary Edition : Writings and Speeches That Changed the World,Martin  Luther King,1992,HarperSanFrancisco
449911411,And I Don't Want to Live This Life,Deborah Spungen,1996,Ballantine Books
007212248X,Oracle8I for Windows Nt Starter Kit (Oracle Press S.),Steve Bobrowski,1999,McGraw-Hill Companies
452254345,Growing Up,Russell Baker,1983,Penguin Putnam~trade
807115258,Dollar Road: A Novel,Kjartan Flogstad,1989,Louisiana State University Press
486290816,The Gambler (Dover Thrift Editions),Fyodor Dostoyevsky,1996,Dover Publications
880015829,The Sheltering Sky,Paul Bowles,1998,Ecco
449225313,The Mark of the Assassin,Daniel Silva,1999,Fawcett Books
553240765,Shane,Jack Schaefer,1983,Bantam Doubleday Dell
609603825,The Forest,EDWARD RUTHERFURD,2000,Crown
765349671,The Da Vinci Legacy,Lewis Perdue,2004,Tor Books
553585843,Fountain of Secrets (Get Connected Romances),Josie Litton,2003,Bantam Books
425192733,Portrait of a Killer: Jack the Ripper-- Case Closed (Berkley True Crime),Patricia Cornwell,2003,Berkley Publishing Group
60525460,The Beachcomber,Josephine Cox,2003,Avon
446326925,Wild Orchids,Karen Robards,1986,Warner Books
449206246,The Wheel of Fortune,Susan Howatch,1990,Fawcett Books
155166285X,If Looks Could Kill,Heather Graham Pozzessere,1997,Mira
449207102,Source,James A. Michener,1976,Fawcett Books
385471998,Come As You Are: The Story of Nirvana,Michael Azerrad,1993,Main Street Books
553575104,In Pursuit of the Proper Sinner,Elizabeth George,2000,Bantam Books
895771845,The scarlet letter (The World's best reading),Nathaniel Hawthorne,1984,Reader's Digest Association
451403703,The Hangman's Beautiful Daughter,Sharyn McCrumb,1993,Onyx Books
812564804,Delusion,Joanna Elm,1999,Tor Books (Mm)
380756226,Crowd Pleasers,Rosemary Rogers,1980,Avon
812589718,Daughter of God,Lewis Perdue,2001,Forge Books
812571789,The Predators,Harold Robbins,1999,Forge
449222713,Black Opal,VICTORIA HOLT,1994,Ivy Books
449215482,The Silk Vendetta,Victoria Holt,1988,Ivy Books
345327454,Thai Horse,William Diehl,1997,Ballantine Books
821720600,Flowers from Berlin,Noel Hynd,1987,Zebra Books
913367346,Just Like Jesus,Max Lucado,1998,Word
892211105,China Cry,Nora Lam,1984,New Leaf Pr
671701045,THING OF BEAUTY,Natasha Tabori Fried,1993,Atria
440235146,A Sudden Change of Heart,Barbara Taylor Bradford,1999,Dell Publishing Company
445044454,Sisters And Strangers,Helen Van Slyke,1978,Fawcett Popular Books
446301809,Daughters of the Shining City,Aola Vandergriff,1982,Warner Books
553573489,Circumstantial Evidence,Pete Earley,1996,Bantam Books
786889411,Rock This!,Chris Rock,1998,Hyperion
671496107,Immortal Poems of the English Language,Oscar Williams,1983,Pocket
553257196,Black Orchids (Nero Wolfe Mysteries (Paperback)),Rex Stout,1992,Bantam Books
055321246X,Walden and Other Writings,HENRY DAVID THOREAU,1983,Bantam
451526368,Northanger Abbey (Signet Classic),Jane Austen,1983,Signet Classics
974375861,They Came Home: Korean War POWs Tell Their Stories,Pat McGrath Avery,2004,Branson Creek Press
974375853,Hickerdoodle Meets a Chigger,Lisa Brez,2004,River Road Press (MO)
671522647,GUMP &amp; CO.,Winston Groom,1996,Pocket
671541005,1ST AMONG EQUALS X,Archer,1984,Pocket
933662599,Survival Kit for Overseas Living: For Americans Planning to Live and Work Abroad,L. Robert Kohls,1984,Intercultural Press
863186602,New Pregnancy and Birth Book,Miriam Stoppard,1991,Dorling Kindersley
525941908,The Regulators,Richard Bachman,1996,Dutton Books
767915054,A Girl Named Zippy: Growing Up Small in Mooreland Indiana (Today Show Book Club #3),HAVEN KIMMEL,2002,Broadway Books
038533396X,How I Accidentally Joined the Vast Right-Wing Conspiracy: (And Found Inner Peace),Harry Stein,2000,Delacorte Press
394566300,Decorating Rich: How to Achieve a Monied Look Without Spending a Fortune,Teri Seidman,1988,Villard Books
842365826,And the Shofar Blew (Moving Fiction),Francine Rivers,2003,Tyndale House Publishers
736907386,The Remarkable Women of the Bible Growth: And Their Message for Your Life Today,Elizabeth George,2003,Harvest House Publishers
1576734005,Distant Bells (Alabaster Books),Diane Noble,1999,Multnomah
375700145,Senor Vivo and the Coca Lord,LOUIS DE BERNIERES,1998,Vintage
452284449,The Virgin Blue,Tracy Chevalier,2003,Plume Books
312195168,Night Talk : A Novel,Elizabeth Cox,1998,St. Martin's Griffin
446610542,The Bachelor (Warner Books Contemporary Romance),Carly Phillips,2002,Warner Forever
679750169,The Romance of Tristan and Iseult (Vintage Classics),Joseph Bedier,1994,Vintage Books USA
051759675X,Perfect Little Angels/Gift Book With 10 Notecards and Envelopes,Russell Ash,1993,Random House Inc
671759299,My Girl: A Novel,Patricia Hermes,1991,Simon Spotlight Entertainment
440910099,Face On the Milk Carton,Caroline B. Cooney,1994,Bantam Doubleday Dell
590411292,Paper Tricks,Florence Temko,1988,Scholastic Paperbacks (T)
684843560,WHEN ANGELS SPEAK : The Mystical Power Of Intimate Relationships,Martha Williamson,1997,Fireside
553269151,Inherit the Wind,JEROME LAWRENCE,1982,Bantam
486272753,Spoon River Anthology (Dover Thrift Editions),Edgar Lee Masters,1992,Dover Publications
067188803X,ADVENTURES OF HUCKLEBERRY FINN (ENRICHED CLASSIC ) : ADVENTURES OF HUCKLEBERRY FINN,Mark Twain,1994,Pocket Books
1562451650,Great Quotes from Great Teachers,Marlene Rimler,1994,Great Quotations
009938860X,Chains,Douglas Scott,1986,Arrow
743202198,Change Me into Zeus's Daughter: A Memoir,Barbara Robinette Moss,2001,Scribner
441371574,Invasion: Earth,Harry Harrison,1986,Ace Books
440111498,Cat's Cradle,Kurt Vonnegut,1997,Dell Publishing Company
553273078,Stainless Steel Rat Gets Drafted (Stainless Steel Rat Books (Paperback)),Harry Harrison,1988,Bantam
345321421,Limits,Larry Niven,1985,Del Rey Books
553286587,Rama II: The Sequel to Rendezvous with Rama,Arthur C. Clarke,1990,Bantam
843952202,The Temptation,Claudia Dain,2003,Leisure Books
373227388,Bodyguard /Husband : Ultimate Agents (Harlequin Intrigue Series),Mallory Kane,2003,Harlequin
778320065,Grave Concerns (Mira),Gwen Hunter,2004,Mira Books
515121495,The List,Steven Paul Martini,1997,Jove Books
743456351,A Man to Call My Own : A Novel,Johanna Lindsey,2004,Pocket Star
316804924,The Discovery of Animal Behaviour,John Sparks,1982,Granite Impex Ltd
316130133,Family Trade,James Carroll,1982,Little Brown &amp; Co
425132951,The House of Thunder,Dean R. Koontz,1993,Berkley Publishing Group
380759470,Xanth 13: Isle of View,Piers Anthony,1990,Eos
330303112,Deadlock,Colin Forbes,1988,Trans-Atlantic Publications
895888041,DOS 5 Instant Reference,Robert M. Thomas,1991,Sybex Inc
1568849052,Unix for Dummies (TRANS/DUM),John R. Levine,1995,For Dummies
764550551,Weddings for Dummies,Marcy  Blum,1997,For Dummies
782903800,Barney's Favorite Mother Goose Rhymes (Volume 2),Stephen White,1994,Barney Publishing
1570641218,What Would Barney Say?,Sheryl Leach,1997,Barney Publishing
671648462,YOU WERE BORN AGAIN : YOU WERE BORN AGAIN,Dick Sutphen,1987,Pocket
811833615,The Bad Girl's Guide to the Party Life,Cameron Tuttle,2002,Chronicle Books
811821706,The Bad Girl's Guide to the Open Road,Cameron Tuttle,1999,Chronicle Books
679755330,A Raisin in the Sun,LORRAINE HANSBERRY,1994,Vintage
451526732,Narrative of the Life of Frederick Douglass: An American Slave (Signet Classics (Paperback)),Frederick Douglass,1997,Signet Book
451525795,My Antonia (Signet Classic),Willa Cather,1994,Signet Book
451188454,The Bone Collector (Lincoln Rhyme Novels (Paperback)),Jeff Deaver,2004,Signet Book
3499136457,Venusneid.,Rita Mae Brown,1995,Rowohlt Tb.
759615365,Life in a Rapidly Changing World (New Economy Self-Development),Pauline Tai,2001,Authorhouse
312874472,Witness for the Dead,Michael Fredrickson,2001,Forge
806516542,The Lost Stories of Louisa May Alcott,Louisa May Alcott,1995,Carol Publishing Corporation
671704834,INTO THE BLUE : INTO THE BLUE,Robert Goddard,1992,Pocket
425166392,Guilty Pleasures,Lawrence Sanders,1998,Berkley Publishing Group
1558745718,Chicken Soup for the Pet Lover's Soul (Chicken Soup for the Soul),Jack Canfield,1998,Health Communications
1740592409,Lonely Planet Victoria (Lonely Planet Victoria),Chris Rowthorn,2002,Lonely Planet Publications
881030368,1984 (Signet Classics (Paperback)),George Orwell,1999,Sagebrush Bound
1565117794,Life of Pi,Yann Martel,2003,Highbridge Audio
553580604,Callahan's Key,Spider Robinson,2001,Spectra Books
340778063X,Das Geheimnis des siebten Weges,Tonke Dragt,2002,Beltz
3791535560,Heimatlos. ( Ab 12 J.).,Hector Malot,1996,Dressler Verlag
440219507,Troubling a Star,Madeleine L'Engle,1995,Laure Leaf
3446152962,Das Phantom der Oper.,Gaston Leroux,1994,Carl Hanser
8806142100,Io Non Ho Paura,Niccolo Ammaniti,2002,Distribooks Inc
2070401685,L'Ile des Gauchers,Alexandre Jardin,1997,Gallimard
2253006629,L'Arrache-coeur: Roman (Livre de poche),Boris Vian,1992,Le Livre de poche
044021632X,The Angel Maker,Ridley Pearson,1994,Island
590474782,Twins,Caroline B. Cooney,1994,Scholastic
425117383,At Risk,Alice Hoffman,1989,Berkley Publishing Group
141308133,The Empress of Elsewhere: A Novel,Theresa Nelson,2000,Puffin Books
385260431,A Different Kind of Christmas,Alex Haley,1989,Bantam Dell Pub Group
860682552,I'm not complaining (Virago modern classics),Ruth Adam,1983,Virago
055321019X,Emma,Jane Austen,1981,Bantam Books
60971185,The Housewife and the Assassin,Susan Trott,1987,Harpercollins
1580622119,Come Rain or Come Shine: Friendships Between Women,Linda Bucklin,1999,Adams Media Corporation
074343059X,Geisha of Gion: The Memoir of Mineko Iwasaki,Mineko Iwasaki,2003,Simon &amp; Schuster (Trade Division)
60090375,Lucy Sullivan Is Getting Married,Marian Keyes,2002,Perennial
1582343047,How to Cook a Tart,Nina Killham,2003,Bloomsbury USA
380711516,Fulton County,James Goldman,1990,Harper Mass Market Paperbacks (Mm)
689866364,The Outcasts of 19 Schuyler Place,E.L. Konigsburg,2004,Atheneum
312984294,The Corrections,Jonathan Franzen,2002,St Martins Pr
575047798,The Colloghi Conspiracy,Douglas Hill,1990,Orion Publishing Co
800758889,Grace by the Cup: A Break from the Daily Grind,Louise Bergmann Dumont,2003,Fleming H. Revell Company
743252136,Domestic Bliss : Simple Ways to Add Style to Your Life,Rita Konig,2003,Fireside
812932773,The 50 Greatest Love Letters of All Time,David H. Lowenherz,2002,Crown Publishers
3551580561,Fanny und Pepsi. ( Ab 12 J.).,Corinna Belz,2000,Carlsen
399139745,Wild Horses,Dick Francis,1994,Putnam Pub Group
679762671,A Dog's Life,Peter Mayle,1996,Vintage Books USA
140143505,84 Charing Cross Road,Helene Hanff,1990,Penguin Books
671743503,Object of My Affection,Stephen McCauley,1991,Washington Square Press
345413881,Dr. Death (Alex Delaware Novels (Paperback)),Jonathan Kellerman,2001,Ballantine Books
553289691,SKINNY LEGS AND ALL,TOM ROBBINS,1991,Bantam
671851047,Game Ten,James Long,1995,Simon &amp; Schuster (Trade Division)
140042407,Tortilla Flat,John Steinbeck,1995,Penguin Books
765303418,Catspaw (Cat),Joan D. Vinge,2002,Tor Books
786000872,The Promise,Mandalyn Kaye,1995,Pinnacle Books
140179178,Great Jones Street (Contemporary American Fiction),Don DeLillo,1994,Penguin Books
812550757,Speaker for the Dead (Ender Wiggins Saga (Paperback)),Orson Scott Card,1994,Tor Books
067087311X,Icy Sparks,Gwynn Rubio,1998,Viking Books
679721886,The Woman Warrior : Memoirs of a Girlhood Among Ghosts,MAXINE HONG KINGSTON,1989,Vintage
394575202,The Power of One,Bryce Courtenay,1989,Smithmark Pub
451187849,We the Living,Ayn Rand,1996,Signet Book
451163966,One Flew Over the Cuckoo's Nest,Ken Kesey,1989,Signet Book
553571338,The Giver,LOIS LOWRY,1999,Bantam Books for Young Readers
8806155466,LA Luna E I Falo,Cesare Pavese,2003,Distribooks Inc
812564669,Household Gods,Judith Tarr,2000,Tor Fantasy
765302365,Second Spring: A Love Story,Andrew M. Greeley,2003,Forge
446605905,The Ragman's Memory (Joe Gunther Mysteries (Paperback)),Archer Mayor,1997,Warner Books
525946829,Quentins,Maeve Binchy,2002,Dutton Books
399138013,November of the Heart,Lavyrle Spencer,1993,Putnam Pub Group
880707682,Chosen (Palisades Pure Romance),Bergren,1996,Palisades
152550860,The Moffat Museum,Eleanor Estes,1983,Harcourt
1556618603,Masquerade (Portraits),B. J. Hoff,1996,Bethany House Publishers
590060198,The BFG,Roald Dahl,1982,Scholastic Inc.
